Feature,Target
 الموضوع مش ولا المقاطعة الموضوع التضليل اللي في كلامه واحد من فترة كان ضد تعريب لعبة ودلوقتي قاعد يبرر لإساءة متعمدة ,Safe
 انا ما انغبنت على ذا الخنث انا مغبون على الدلوخ اللي نسو الموضوع وقامو يسوون دعايات للعبة اساسن الجديدة المحلوبة ,risky
 الفرق انه يوبي زفت مااعتذرت ولا تطرقت على الموضوع الى يومك هذا بالرغم من موجة الاستياء الكبرى واللي شارك فيها كبار المؤثرين لماذا ؟؟ لان الهدف من البدايه انه يرضون الجماعة الملونة على حساب منطقة الشرق الاوسط وعشان يلمعون صورتهم والعريضة والالغاء كله مترتب ,risky
 مو شيء جديد من عرفتها وهي شركة عنصرية، رأس ماليه، ضاربه بالحائط تجربة ورضى اللاعبين يدفعون للمراجعين العرب عشان يطبلون كثير شركات تقدم لك لعبة عن تاريخ يوبيسوفت كامل اسهل مقاطعة ممكن تسوونها ,risky
 ردا على ال١٠ سنين، فنعم، لأن غلطة الشاطر بألف، لما واحد بالشارع يغدر فيك غير لما خويك اللي تعرفه ١٠ سنين يغدر فيك ,Safe
 ويبقى السؤال الي يطرح نفسه ، ليش طلعتو وتكلمتو اثنينكم في نفس اليوم؟، هل أنتم متفقين ولا حد دافع لكم؟ ,Safe
 انبطاح لفل ماكس و نفاق لا مثيل له الأخ ببساطة اعطى مثال منطقي و بما انه يوبي زفت شركة عنصريه و لا تحترم لاعبينها ابدا و لا يبالي بمنطق و مبادي فهذه تصرفات و تلك تصريحات تثبت بلا شك انه يوبي زفت شركة مقرفه لا تستحق حتى ان تقرصن العابها ,risky
 ما قدمت اعتذار مباشر ولكن عوضا عن الاعتذار اخذت أبرز سلسلة عندهم وحطوها بقصه عربيه في منطقه عربيه وبدبلجه عربيه للكل مهما كان المكان احس هذا يكفي عن الاعتذار وزيادة بعد فما احس له داعي مواصلة هالعداوه ,Safe
 أثق في حدسي دائماً واعتقد أن لدي فراسة لمعرفة السيء مبكراً اللي صاير جميل واللي عاصر مجتمع اللاعبين العربي من زمان يعرف ان له كلمته من ظهور و وأنا أتجاهل محتواهم عمداً على شهرتها لشيء في داخلي واتضح الآن لي ليه ,Safe
 اعزائي العرب و المسلمين كلما اجتمعتم على كلمة واحدة زاد احترام العالم اجمع مبادئنا و معتقداتنا خط احمر و لا عزاء للمرجفين ولا للمتخاذلين حالهم حال كثير من الاعلاميين عندنا يذهبون خلف مصلحتهم قبل اي شيء اخر بل و بعضهم يفرد عضلاته بقدرته على هدم كلمتنا ,Safe
 كلهم مفهين بشكل منشن خويك المفهي وقله شكلك منهم ,risky
 كمية غثاثه على مصاله على ملاقه كرهي للعينات ذي حتى رجعت ميوت مقدر اتحمل,risky
 كيلر كلب حلو حيوان انسان وفوق كل دا ملقلق ,risky
 مدري هو احول ولا انا ذكي,risky
 هذا غثننني هو وايمه الاحول,risky
 لا صدقني انا وكثيرين ندري عنه ومقاطعين ,Safe
 قبل ما انام حبيت اذكركم المتلون ,Safe
 بعض القيمرز ودك تقول لهم يازينك ساكت ,Safe
 لو صدق بتكون يوبيسوفت بالفعل تجاوزت الحدود و سبب آخر لمقاطعتها ,Safe
 صاحب الشأن على قولك ما راح ينطق حرف لانه لو تكلم راح يمنع من البطولات القادمة مو دايما السكوت علامة الرضا، ثانيا الشركة ما أساءت لصاحب الشأن فقط بل اساءت لجميع العرب سكوت صاحب الشأن ما يعني سكوتنا احنا ,Safe
 والله كل واحد يسوقه على الثاني انا اقول العب واستانس بس ,Safe
 موضوع صاير مقرف و غبي بشكل مستفز، كل واحد قاعد يستشرف على الثاني، المقاطع يستشرف على الي ما قاطع و الي ما قاطع بالذات اصحاب القنوات يستشرفون و يبررون ليه لازم تبوس رجل يوبيسوفت لانها بس تفضلت عليك يا لاعب يا عربي و عربت لك العابها على اساس انها لسواد عيونا ,risky
 قلتلكم شكلهم فرع دبي اتفقوا مع اكثر من شخص بس هذا وحنا بنص المقاطعه يشتغل معهم ,Safe
 اذا بتكلم عن نفسي فأنا الوحيد الي ما يدعم ذي الحملة ماراح اوقف العاب احبها من صغري و للحين احبهم مثل اساسنز و فار كراي و سبلنتر سيل و ريمان و غيرهم من الالعاب انا من عشاق يوبيسوفت وفي الاخير تبغاني اقاطعهم بس عشان سوو غلط مره وحده انا مو مهتم ,Safe
 لمسأله شخصية لو كان فيه احد سب الترجمة عشان ام التفاحة سوريه يعني ان له تأثير على قرار الشركة ودخل الشخصنة بالموضوع طبعًا هو طلع تفاحة ملونة فامو مستغربه تصرفاته من المقاطعة منها إلى اتهام قضاء المملكة حفظها الله للتحيز، ففي النهاية وش تتوقع من شخص ملون في شركة ,Safe
 اقسم بالله لاعبين اوفرواتش من اكثر الناس تخلف ، وانا على نياتي اقوله ايه بالبداية ما شفت السبراي الله يقلعه هالفار,risky
 الاوله حمار و التانيه حمار عاد تعرفون الباقي,risky
 الحمار الطائش الي ما يتعلم من نفس الغلط ,risky
 محد تكلم وقال بنقاطع الشركة عشان نخسرها فلوس نحن نقاطع لديننا وقيمنا بس انته وغيرك اللي تدافعون عنها وترقعون كلامكم الظاهر بعد اللي قلتوه نحن نبغي اعتذار من الشركة بس انتو كصناع محتوى عرب عطوكم فلوس و اكواد للعبه عشان تدافعون عنها ,Safe
 أنا مو مقاطع يوبي زفت إذا نزلت لعبة ممتازة راح اشتريها لكن الان أكثر العاب شركة ,risky
 حبيبي عبدالله كلامك جدا منطقي وعين العقل لكن بسألك سؤال هل ياترى يوبيسوفت تقدر تتصرف نفس التصرف مع روسيا والصين ؟ انا ادعم مقولة وايضا رايان عنصري وكل من يستصغرنا احنا العرب نعم للاسف ممكن ماهنقدر نقاطع وانا اعترف ان المقاطعة عقيمة لكن وهنتقدها ونسفل ,risky
 انا مقاطع يبي سوفت لسببين الاول انها فرنسيه وانا مقاطع فرنسا ، السبب الثاني عنصريتها وتمييزها ضد ديننا مفروض تعرف ان بلاد المسلمين ما تسمح فكيف تعاند على حسابنا لتحسين صورتها إلي شركتهم فيها فضايح تحرش واغتصاب ، وش ترتجي من شركه فرنسيه دولتهم تعدي المسلمين ,risky
 لانه على عكس ريوت شعبيه اكبر اكيد التركيز عليها اكثر لو تغاضينا عن شي مو معناه نمشي كل شي ونضل ساكتين ,Safe
 لكم سنة ونص على ذا الهاشتاق قاطعوهم وقاطعوا اي احد يدعمهم وينتهي أمرهم ,Safe
 العابهم تتشابه مع بعض مثلا عمورتال فينكس هي عبارة عن أساسنز كريد لكن كرتونية وتقليد رخيص لزيلدا لدرجة أنه الديمو طفشت منها أخاف أضيع وقتي في العاب يوبيسوفت اللي عبارة عن عقيم مع أبراج وصقر أو درونز ماصاروا يبتكرون شيء زين لا ننسى أن ,Safe
 ي خي لازممم تغير استراتيجيتها ف الالعاب مو معقولة التكرارات اللي نشوفها ف العابها المطورين يبنون عالم ضخم لكن التفاعل بيئة العالم حرفيا المطورين يبنون جرافيكس جميل لكن القلتشات في كل زاوية تقتل اللعبة ,Safe
 هاه عندي العاب ال المستعملة لسبلنتر سيل وباقي اجزائها بالأكس بوكس وبيوند قود اند ايفل وأمير فارس حبيب الطفولة بنوكيا او الجوال ما احتاج الجيم باس عشان العبهم إلا إذا تحب تعذب نفسك في فالهالاا ولا زي اخوي تعذب بأوديسي والعناصر اليوبيسوفتية التطفيشية ,Safe
 المواقع مثل سعودي جيمر و ترو جيمنج على مساندتهم للحملة و أشكر كل اللاعبين المشاركين بالحملة و هسة اتفهم اي شخص يريد يعوفه و يمكن انة اترك الحملة مستقبلاً لان حرفياً ماتت حتى تويتر كامت متحط هاشتاغ مع باقي الهاشتاغات لان ما ت و محد يستعملة والله شغلة تلعب النفس ,Safe
 نزلت لعبة من الشركة الفْذرة والطعوس فانز الاكسبوكس يشجعون لتنزيلها ,risky
 يخوان لو تم تقديم العاب يوبيسوفت الخايسه كلها على طبق من ذهب لكم من المروءة والولاء رفضها عدا ذلك فهوا خضوع تام لهم ,risky
 الألعاب القادمة من لعبة شوتر من من تعاون و إشاعة والمزيـــــد ,Safe
 وفقــــاً لحساب موقعي على تويتر ، حوالي لعبة من متوفرة تــــم تأكيــــــــد قدومها لخدمتي و مما يجعلهم أكبر ناشر مستفيـــــد من خدمات الإشتراك ,Safe
 هم مثل عندهم كل مقومات النجاح الكبير ميزانية عناوين أسطورية شراكات احلام لكن عندهم إدارة سيئة و عجيبة و ما نشوف منهم خير الا نادراً مثل و حتى العاب مثل على الرغم اني احبها كثير ما حبوها و الباقي تخريب عناوين بدايتاً ب لو سوني استحوذت عليهم ممكن تنعشهم ,Safe
 يوبي سوفت من زمان اكره اللعابهم ، وحتى افكار مافي وغالبيتها عالم مفتوح و هبد ، ومن قبل حتى موضوع أنا أكرههم ,risky
 آخر الزمان يأتي أُناس يتاعدون على المسلمين من أجل متحولين ان الله يمهل ولا يهمل و والله ان اللي قوي إيمانه ما يتأثر بذا الشي لكن مثل الكلاب السفهاء المدعين بأنهم مسلمين يبيعون شرفهم و كرامتهم و دينهم المنزل من الله على رسوله الكريم عشان فلوس والله لن يصلوا ,risky
 ليش تلعب العابهم عزوز مقاطعة لهم بعد عنصريتهم علينا كمل بارك الله فيك بالمقاطعة ,Safe
 أتمنى نهاية الشركة عن قريب، استفزتنا ورفعت ضغطتنا ولغت بطولة كاملة عشان ذوليك وبالأخير لا أعتذرت ولا شي تبونا نتمنى استمرارها أو كذا، وكلو كوم وابو تفاحة كوم تاني خالص، ما في حل إلا رئيس جديد يمسكها ويصلح كل شي فيها أو تتسكر وخلاص ونفتك منها ,Safe
 حسب من ، تلغي تطوير لعبتي و بالإضافة لعبتين أخرتين غير معلنتين بعد اللهم زد وبارك ,Safe
 يعني الآن تقريبا صار شبه اكيد موضوع انه كل شهر لعبة او لعبتين من ,Safe
 فيه انواع من مقاطعين ١الي صدق مقاطع٢ الحمار الي مايترك خبر عنهم الا ونشره وبنفس الوقت يقول انا مقاطع الغبي يسوق لهم بدون فلوس ٣الحمير الي في اليوتيوب واخوايهم الي هنا باعوا نفسهم عشان الفلوس احسن من النوع ٢ لان ياخذون مقابل ,risky
 وين المقاطعه ؟ تغيرتوا بسبب الفلوس ؟ الشهره ؟ يا حسافه عرفتوا منو تختارون يا يوبيسوفت الاشخاص اللي يخافون ع دينهم و اهلهم ماقدرتوا عليهم ,Safe
 واحدة من أفضل الألعاب التي لعبها و أحبها جداً لكن هذا لا يُنسيني ,Safe
 با ليت ريمان يرجع، يعني آخر لعبة كانت من أفضل الألعاب البلاتفورم و يا ليت الاسم يروح لشركة أخرى على يوبيزفت ,Safe
 يستاهل الكلب طول القيم يبعصني,risky
 شكرا على اللعبة الرهيبة بشتريها في الستور الامريكي ستوركم فاشل ,risky
 مع نزول الاستور السعودي لاغي الفكره انيا افتحه حساب من ستوركم الفاشل,risky
 أقدّر جداً جهودك في إبداء آرائك الخاصة، لكن لا تحاول تبديها بعد منطقك معيوب جداً وحجتك غريبه، وديزاين التغريدة والله أعلم غرضه إثارة جدل كلام متمطمط صورة تغريدة ثانيه تحتها ويا حبذا تقول سوني دولار لزوم الوطنيه والوازع الديني أحسنت،هاك تفاعل ,Safe
 اخ مهند نصيحة لك و لمن دعمك على هذه الخطوة ولمن ذهبوا لدعم هذه الشركة والله الدنيا ما تستاهل انك تذل نفسك عشانهم الرزق بيد الله مو بيدهم و الأرزاق مكتوبة من قبل خلقنا و عيشنا في هذه الحياة فارجوك عد لصوابك و ارفضهم ولا تعمل معهم ,Safe
 راح نقعد الى ٢٠٣٠ ويوبي زفت ماعتذرو فا الافضل نقاطع العابهم هم واكتفجن و الالعاب الفرنسيه كلها والحمله اشوف انها مضيعه للوقت للآسف ,Safe
 الناس مستغربة أن رفعت تسعيرة لـ بما أن البلاي بدأت هذه الموضة كل الناشرين في العالم سينضمون للحفلة ويضعون ألعابهم للـ بهذا السعر,Safe
 وانته بخير يابو ريفيوز وان شاء الله تعقل وتوقف مصخره وبدال متهاجم العم سبنسر تحول ع ربعك في وتهاجمهم وكل من يعزز لهم بس هذا حلم صعب المنال ,risky
 ياخي بالله اممكن احد يشرح موضوع بدون الغاز وتلميحات كفاية ميازاكي ضيع عمرنا وما فهمناه ,Safe
 عندي غضب عليها بكبرها، والله العابها الاخيرة جداً سيئة وحلبو كل شيء سووه ,Safe
 مثل ما ذكرت لك في السابق هناك حملات تحركها الأهداف المشتركة وبديهيًا من نتائجها تكون المقاطعة، بالنسبة لموضوع أعتقد أن وقت الاعتذار فات كثير، وهو سيناقض بيانهم، لذلك أنا لا أنتظر اعتذار وفق ما آلت إليه الظروف، انتظر إقامة بطولة في الخليج وهذا سيكون اعتذار مبطن ,Safe
 ما يعايد عليك الا الشخص الا ما عنده كرامة ومذلول ولا عنده مبدءا وكم شخص الي رجعو يعلنون لكم قيمر سناك وباقي العاهات كرامتهم والارض واحد ما عليهم شرها ,risky
 أنا قرأت تغريدتك الأصلية و شفتك أغلقت التعليقات، فاستنتجتك أنك مش مهتم بالنقاش فتجاهلت الموضوع لكن بما إنك منفتح للنقاش، و بما إني المقصود و لو بشكل غير مباشر بالكلام كليا أو جزئيا، فحبيت أعلق لما بديت هاشتاق ما أرغمت أحد هالمشاركة ولا جبت سيرة مقاطعة يتبع ,Safe
 للاسف القصه الشي الوحيد الي يشفع لها الباقي كان احباط خصوصا طريقة اللعب الي لعبته اونلاين واوفلاين ولكن للاسف شي محبط تحسيه من العاب الي فقط ودي وجيب وروح جيب و ودي ,Safe
 أخ عمر أنت تخلط الكثير من الأمور، ويبدو أنك منزعج جدًا لما حصل مع الأخ ولا ألومك فهذه وجهة نظرك في الأخير، وأنا لا أؤيد أبدًا ما قام به وهذا حقي في إبداء الآراء، وسبق اقتبست تغريدة وعبّرت عن رأيي الشخصي بكل تجرد ,Safe
 والله انك ذيب يا فهد اغلب الشباب اللي جاملوه لو اكتفوا بالسكوت كان ابرك لهم لكنك انت غردت كلنا نتمنى الخير لمهند لكن ليس من باب يشوفله شركات ثانية تحتضنه غير هذي ,Safe
 اولا عيد اضحى مبارك السعيد عليكم وعلينا وكل عام وانتم بخير ثانيا ,Safe
 جهاز فاشل واكبر دليل لعبة اجل أقوى كونسول محد مهتم,risky
 اوووف صدت جونا بالتصميم هههههههههههه لو تقرون سورة البقرة يوميا لن ننسى اعتذروا اعتذروا افضل ,Safe
 هناك للأسف مجموعة من المؤثرين بلا كرامة، استغلوا الحملة وعبّروا عن رفضهم التام لـ وفي ذات الوقت يتعاونون معهم بأي نشاط داعم لهم مشكلتنا معهم ليست في العمل معهم بل في مخالفة موقفهم، من المفترض منهم من الأساس عدم الدخول للحملة ,Safe
 عندما يكون النذل حمار ,risky
 ياعزيزي مافيه إساءة، ولا عنصرية موضوع كان قضيتي قبل أن يأخذ اتجاه لا يتسق مع مبادئي لماذا لا أتحلى بالشجاعة؟ فضلاً ناقشني بهدوء بعيداً عن شخصنة الموضوع، أنا طرحت أسبابي بكل وضوح وشفافية دون الإساءة لأحد ,Safe
 أشكرك قلت اللي بخاطري بالنسبه لي عرفت وضعهم من يوم عملوا مقاطعه للجزء الثاني من لعبة ذا لاست اوف اس ولقيت معظم اللي شنوا الحمله هم اول من ختم اللعبه ولما بدأت حملة كنت متأكد انهم راح يعملوا نفس الحركه انا ضد اللي عملته يوبي وكمان انا ضد اللي يستشرف علينا ,Safe
 وكذلك على علم بأنه ربما حملة لن تستمر لفترة طويلة لضعف ثقافة المقاطعة عندنا، وبسبب بعض الدخلاء فيها، ولكن سيسجل التاريخ المواقف وكيف انتهى المطاف بهذا الحملة وكشف مواقفكم المتناقضة لقمة العيش صعبة فعلًا ولكن تَعِسَ عبد الدينار والدرهم ,Safe
 المشكلة كانت وللأسف ممن دعم حملة وفي الوقت ذاته يدعم هذه الشركة إما بتعريب شعارات أو مقاطع تجارية وإعلانية، هذه الحملة فقط لأصحاب المبادئ والشرفاء، الذين لايقبلون يومًا أن تهان أنفسهم الحقيقة ومنذ اليوم الأول وأنا أعلم هناك من يبيعون الكلام وقلوبهم معلقة بهم ,Safe
 حملة لم تكن يومًا حملة هجومية ضد أي شخص، ولكنها حملة ضد من يحاول أن يركب الموجة، وللأسف الكثير من ركب الموجة، أي جهة لم تكن داعمة من اليوم الأول للحملة ومستمرة في تغطية أخبار شركة الملونين ليس من حقنا الحديث عنهم بما أنهم لم يصرحوا بدعمهم ,Safe
 هذه التغريدة تستفزني على الإساءة اللفظية ولكن لن أنجرف لهذا المنزلق، فعلًا ما قرأت أوقح مما كُتب، ولا ألومك هذه ليست قضيتك، لأننا لسنا عنصريين مثلك، وحملة ليست عرقية حتى تقول وبكل عنصرية نتنة هي فرصة للبصق في أعينهم الزرقاء ولكن جميل أنك لا تتحلى بالشجاعة ,risky
 الاعلاميين بعضهم مو مهتم و يعرف انه مامن نفسه و للاسف طالم مو متابعينه يضغطوا عليه ما يفرق معه كم حساب في التويتر حتي بعضهم سكت في التويتر و شغل في انستقرام يدعم يوبي اما مهند جته فرصة و استغلها بس مانحن موقفين ,Safe
 كثير من الحسابات الإخبارية الود ودهم لو ما كانت هناك حملة حتى يأخذون راحتهم في نقل أخبار ومراجعة ألعابهم، والحصول على أكواد مجانية، ولكن يخافون من ردة فعل الجمهور، ولو كشف الله ما في صدورهم لصدمنا من حجم الوضاعة التي يعيشونها من أجل ,Safe
 بالنسبة ل وصناع اليوتيوبر اللي عندنا فيه حل مناسب جدًّا لما ينزلوا مقاطع عن لعبتهم القادمة اقرصوهم بعدم المشاهدة والدس لايك لاتتفاعلو معهم خلوهم يعقلون شوي ترى مطلبنا بسيط اعتذار رسمي من التهم العنصرية اللي وجهوها وارجاع البطولة بالامارات ,Safe
 نفس قضية فلسطين ترا الكل متحدين ومعاً ضد الكفار والافكار ذي فجة واحد يبعها والكل يقول رزقة رزقة انتو مهبل ؟ الرزق من الله و لازم نوقف حتى ضد مهند دامه بيجي معهم ,risky
 صاملين ياقذرين ,risky
 مغفلون سذج يظنون أن الحملات والمقاطعة بالهاشتاقات والتغريدات والشعارات والكلام فقط عندما تصل الأمور إلى الأفعال وترتبط بكسب الأموال هنا يظهر معدنك أيها المنبطح عديم ماء الوجه على أية حال هنيئا لكم انحطاطك بالتعاون مع من لا يأبه لدينك وتقاليدك ومعتقداتك ,risky
 كانت ستقام بطولة للعبة في دولة الإمارات ، ولكن بسبب ضغط فئة قليلة من المتلونين، أعلنت عن عدم إقامة البطولة خوفًا على سلامة القادمين للإمارات من هذه الفئة، في إشارة إلى أن دولة الإمارات غير آمنة ولن تحمي أي زائر لأراضيها وهذه هي المشكلة ,Safe
 موضوع مقاطعة بدأ بطريقة حضارية ومحترمة وكانت أسبابه واضحة وأهدافه معروفة، ولكن هناك من المتحمسين الذين لم يعرفوا سبب الحملة هذه إلا بعد ظهور صور تفاحة متلونة تؤيد أفعالهم، لما بدأت أشاهد أن أساس الحملة تغير لابد من كتابة أسبابها حتى يفهم الجميع السبب ولايخطئ ,Safe
 لا زال سالم وأمثاله ينتظر اعتذار شركتنا الفرنسية العظمى لا يعلم أن مشاهير اللاعبين العرب عادوا يلعقون أحذيتنا ,Safe
 يظن مهند أنه صديقنا ونه قدم عملا جليلا يستحق الشكر ولا يدري أنه أحمق وصدق نفسه نحن في شركتنا العظمى نتعامل مع العرب كورق الحمام ,risky
 متجر صغير وضحى بجزء من رزقه الله يرزقهم من واسع فضله عشان المقاطعه انت وش عذرك ,Safe
 بطولة ألعاب كانت بتصير في الإمارات اذا ما كنت غلطان المهم دولة عربية قامت ألغت البطولة عشان في بعض الشواذ عارضوا إقامة البطولة في دولة لا تسمح بالشذوذ و بعذر ان خطر عليهم الشواذ المشاركة في دولة مثل كذا ,Safe
